Date,Nifty Auto,Nifty FMCG,Nifty IT,Nifty Metal,Nifty Pharma,Nifty Bank,Nifty 50
2023-12-14,18045.05078125,54361.44921875,34223.3515625,7574.25,16155.7001953125,47732.30078125,21182.69921875
2023-12-15,18038.25,54186.19921875,35782.44921875,7735.35009765625,16179.7998046875,48143.55078125,21456.650390625
2023-12-18,18068.25,54017.05078125,35685.55078125,7768.5498046875,16332.150390625,47867.69921875,21418.650390625
2023-12-19,17932.69921875,54776.55078125,35345.0,7716.64990234375,16391.25,47870.8984375,21453.099609375
2023-12-20,17523.55078125,54597.8984375,34741.05078125,7421.5498046875,16121.25,47445.30078125,21150.150390625
2023-12-21,17537.849609375,54803.30078125,34846.05078125,7524.0,16238.150390625,47840.1484375,21255.05078125
2023-12-22,17778.900390625,55101.05078125,35637.80078125,7652.64990234375,16394.349609375,47491.8515625,21349.400390625
2023-12-26,17953.55078125,55484.3984375,35493.44921875,7739.7998046875,16562.599609375,47724.8515625,21441.349609375
2023-12-27,18224.849609375,55750.3515625,35741.0,7847.75,16655.94921875,48282.19921875,21654.75
2023-12-28,18408.599609375,56504.5,35691.6484375,7926.35009765625,16860.849609375,48508.55078125,21778.69921875
2023-12-29,18618.19921875,56987.19921875,35515.0,7978.0,16831.80078125,48292.25,21731.400390625
2024-01-01,,,35695.8984375,,16858.75,48234.30078125,21741.900390625
2024-01-02,18339.349609375,57209.5,35283.1015625,8023.89990234375,17274.30078125,47761.6484375,21665.80078125
2024-01-03,18317.5,57213.30078125,34395.44921875,7878.39990234375,17379.80078125,47704.94921875,21517.349609375
2024-01-04,18326.75,57703.8984375,34409.3984375,7883.0498046875,17413.19921875,48195.8515625,21658.599609375
2024-01-05,18406.94921875,57667.3515625,34851.75,7871.7998046875,17358.599609375,48159.0,21710.80078125
2024-01-08,18350.19921875,56672.8515625,34514.6484375,7747.0,17195.94921875,47450.25,21513.0
2024-01-09,18519.80078125,56573.1015625,34662.44921875,7808.2998046875,17346.30078125,47242.6484375,21544.849609375
2024-01-10,18559.099609375,56348.94921875,34834.3515625,7882.64990234375,17401.900390625,47360.8515625,21618.69921875
2024-01-11,18755.099609375,56228.55078125,34735.25,7876.14990234375,17380.55078125,47438.3515625,21647.19921875
2024-01-12,18715.19921875,56485.75,36521.69921875,7898.35009765625,17347.44921875,47709.80078125,21894.55078125
2024-01-15,18765.25,56657.30078125,37201.94921875,7864.10009765625,17520.44921875,48158.30078125,22097.44921875
2024-01-16,18712.69921875,56755.8515625,36727.1015625,7941.85009765625,17320.150390625,48125.1015625,22032.30078125
2024-01-17,18447.25,56259.5,36960.3984375,7693.5498046875,17154.0,46064.44921875,21571.94921875
2024-01-18,18496.25,55953.6015625,36730.5,7629.10009765625,17331.25,45713.55078125,21462.25
2024-01-19,18694.599609375,56640.5,37069.25,7732.35009765625,17388.0,45701.1484375,21622.400390625
2024-01-23,18361.0,54973.8984375,36521.3515625,7486.85009765625,17520.30078125,45015.05078125,21238.80078125
2024-01-24,18593.69921875,55858.69921875,37090.1484375,7708.64990234375,17763.69921875,45082.3984375,21453.94921875
2024-01-25,18614.900390625,55214.1015625,36496.19921875,7719.64990234375,17532.55078125,44866.1484375,21352.599609375
2024-01-29,18927.25,55139.1015625,36531.8984375,7843.75,17623.599609375,45442.3515625,21737.599609375
